uni,website,mastodonUrl,xUri,facebookUrl,linkedInUrl,instagramUrl,blueskyUrl,tiktokUrl,YouTubeUrl
http://www.wikidata.org/entity/Q2120211,https://www.ph-ludwigsburg.de/,https://bawü.social/@phludwigsburg,,,,,,,
http://www.wikidata.org/entity/Q2120222,https://www.ph-weingarten.de/,https://bawü.social/@phweingarten,,,,,,,
http://www.wikidata.org/entity/Q40025,https://www.fau.de/,https://mastodon.social/@FAU,https://x.com/UniFAU,,,https://www.instagram.com/uni_fau,,,
http://www.wikidata.org/entity/Q51985,https://www.tu.berlin/,https://wisskomm.social/@tuberlin,https://x.com/TUBerlin,https://www.facebook.com/TU.Berlin,https://www.linkedin.com/company/tuberlin,https://www.instagram.com/tu_berlin,,https://www.tiktok.com/@tu_berlin,https://www.youtube.com/channel/UCeH4whDP6cyiWjDPCpMVjuw
http://www.wikidata.org/entity/Q1622234,http://www.hs-coburg.de/,,,https://www.facebook.com/hscoburg,,https://www.instagram.com/hochschule_coburg,,,
http://www.wikidata.org/entity/Q2718933,https://www.rwu.de/,,,https://www.facebook.com/HomeWeingarten,,,,,
http://www.wikidata.org/entity/Q127256070,https://www.mul-ct.de/,,,https://www.facebook.com/CarlThiemKlinikum,https://www.linkedin.com/company/mul-ct,https://www.instagram.com/mul.ct,,,https://www.youtube.com/channel/UCka-zjmLEOsz6j5O0fsVHJg
http://www.wikidata.org/entity/Q22963,https://www.uni-speyer.de/,,https://x.com/Uni_Speyer,https://www.facebook.com/uni.speyer,https://www.linkedin.com/company/deutsche-universität-für-verwaltungswissenschaften-speyer,,,,
http://www.wikidata.org/entity/Q55038,https://www.udk-berlin.de/,,https://x.com/UdK_Berlin_,https://www.facebook.com/udkberlin,https://www.linkedin.com/company/universität-der-künste-berlin,https://www.instagram.com/udkberlin,,,
http://www.wikidata.org/entity/Q1622244,http://www.hnee.de/,,https://x.com/hneeberswalde,https://www.facebook.com/hneeberswalde,,https://www.instagram.com/hneeberswalde,,,https://www.youtube.com/channel/UCgXzspyWEdCblGsMcIAgKuQ
http://www.wikidata.org/entity/Q50662,https://www.goethe-university-frankfurt.de/,,https://x.com/goetheuni,https://www.facebook.com/goetheuni,,,,,
http://www.wikidata.org/entity/Q2718928,http://www.hs-geisenheim.de/,,https://x.com/hsgeisenheim,https://www.facebook.com/hsgeisenheim,,https://www.instagram.com/hsgeisenheim,,,
http://www.wikidata.org/entity/Q2035460,http://www.ostfalia.de,,,,,,,,https://www.youtube.com/channel/UCaiZPGRg7bfSZxHBAqC7Xyw
http://www.wikidata.org/entity/Q2496174,http://www.uni-vechta.de/,,https://x.com/univechta,https://www.facebook.com/UniVechta,https://www.linkedin.com/company/universität-vechta,https://www.instagram.com/univechta,,,https://www.youtube.com/channel/UCprwMD8pNkgYBhBdYjh-qdQ
http://www.wikidata.org/entity/Q56187114,https://www.utn.de/,,https://x.com/utn_nuremberg,https://www.facebook.com/utn.official,https://www.linkedin.com/company/technische-universität-nürnberg,https://www.instagram.com/utn.official,,,https://www.youtube.com/channel/UCw8toSKSYCP6W_GRaIGoTNQ
http://www.wikidata.org/entity/Q1622237,http://www.hfbk-hamburg.de/,,,,,,,,
http://www.wikidata.org/entity/Q1622239,http://www.thws.de/,,,,,,,,
http://www.wikidata.org/entity/Q1622242,http://www.hfoev.bremen.de/,,,,,,,,
http://www.wikidata.org/entity/Q1792452,http://www.kunsthochschule-mainz.de,,,,,,,,
